GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic,cusip
7923,LC,64311,21294,19820625,E,NORFOLK SOUTHERN CORP,NSC,655844108
7970,LC,44206,21299,19670220,E,EVERSOURCE ENERGY,ES,30040W108
7974,LU,38762,21244,19621219,E,NISOURCE INC,NI,65473P105
7977,LC,23931,21300,19620131,E,XCEL ENERGY INC,XEL,98389B100
7982,LU,58246,3275,19721214,E,NORTHERN TRUST CORP,NTRS,665859104
7985,LU,24766,21303,19620131,E,NORTHROP GRUMMAN CORP,NOC,666807102
8007,LC,38703,21305,19621210,E,WELLS FARGO & CO,WFC,949746101
8030,LU,34817,21308,19660429,E,NUCOR CORP,NUE,670346105
8068,LC,34833,21322,19620702,E,OCCIDENTAL PETROLEUM CORP,OXY,674599105
8087,LC,67029,3333,20041209,E,ITERIS INC,ITI,46564T107
8087,LC,67029,3333,19911001,20030723,ITERIS INC,ITI,46564T107
8087,LC,67029,3333,19841107,19910930,ITERIS INC,ITI,46564T107
8099,LU,23026,21326,19620131,E,FIRSTENERGY CORP,FE,337932107
8099,LU,23026,21326,19510101,19620130,FIRSTENERGY CORP,FE,337932107
8151,LC,25232,21332,19620131,E,ONEOK INC,OKE,682680103
8245,LC,60442,3685,19830119,E,PNC FINANCIAL SVCS GROUP INC,PNC,693475105
8247,LU,22509,21351,19620131,E,PPG INDUSTRIES INC,PPG,693506107
8247,LU,22509,21351,19500101,19620130,PPG INDUSTRIES INC,PPG,693506107
8253,LU,60506,3487,19721214,E,PACCAR INC,PCAR,693718108
8264,LC,13688,21356,19620131,E,PG&E CORP,PCG,69331C108
8264,LC,13688,21356,19510101,19620130,PG&E CORP,PCG,69331C108
8272,LU,86136,34798,19980629,E,SEMPRA ENERGY,SRE,816851109
8358,LU,41355,21367,19641209,E,PARKER-HANNIFIN CORP,PH,701094104
8402,LU,61621,6333,19830826,E,PAYCHEX INC,PAYX,704326107
8455,LC,22517,21376,19620131,E,PPL CORP,PPL,69351T106
